Smiles,pIC50
Cc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C,7.17
O=C(Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C1CCCC1,6.71
Cc1ccc(C(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,6.52
Cc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1,6.7
COc1cccc(-c2cnc(N)nc2-c2ccccc2)c1,6.81
Nc1ccc(Cl)c2c1C(=O)c1ccccc1C2=O,6.6
Clc1ccc(Cc2n[nH]c(-c3cnccn3)n2)cc1Cl,7.22
Nc1nc(-n2cccn2)nc(NC2CC2)c1Br,7.22
Cc1nc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)sc1C,6.66
Cc1ccc(COC(=O)c2nn(-c3ccccc3)nc2N)cc1,6.82
COc1cccc(-c2n[nH]c(Cc3ccc4ccccc4c3)n2)c1,7.0
Nc1nc(-c2ccccc2)cn2cc(-c3ccccc3)nc12,6.51
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)c(Cl)c1,6.75
COc1cccc2cc(C(N)=O)c(=N)oc12,7.1
Cc1cccc(-n2nc(N)c(C(=O)CCc3ccccc3)n2)c1,6.6
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(-c2ccccc2)n1,7.01
COc1cccc(-c2n[nH]c(Cc3ccc(F)c(F)c3)n2)c1,7.16
COc1cccc(-c2n[nH]c(Cc3ccc(Cl)c(Cl)c3)n2)c1,7.4
COc1cccc(-c2n[nH]c(Cc3ccc(Cl)c(Cl)c3)n2)c1,7.4
Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,7.29
Cc1ccccc1COC(=O)c1nn(-c2ccccc2)nc1N,7.31
O=C(Nc1cnc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1,6.51
COc1ccc(-c2cnc(N)nc2-c2ccccc2)cc1Cl,6.6
CCCC(=O)Nc1nc(-c2cccs2)cc(-c2cccs2)n1,6.7
Nc1nnc(-c2cc(Cl)cc(Cl)c2)c(-c2ccccc2)n1,7.3
Nc1nc(-n2cccn2)nc(N2CCC2)c1Br,7.48
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)nc1,6.52
Oc1cc(-c2ccccc2)nc2nc(F)ccc12,6.77
Oc1cc(-c2ccccc2)nc2nc(F)ccc12,6.77
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.0
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18
Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12,7.0
Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12,7.0
Cc1cc(C)nc(NC(=N)NCCc2c[nH]c3ccc(F)cc23)n1,6.7
O=C(C/C=C/c1ccccc1)Nc1nc2ccccc2c(=O)s1,6.93
O=C(CCCc1ccccc1)Nc1nc2ccccc2c(=O)s1,7.4
Cn1c(Br)nc2c(N)ncnc21,6.92
Cn1c(Br)nc2c(N)ncnc21,6.92
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1N,6.89
CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.59
CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.59
O=C(CCc1ccccc1)Nc1nc2ccccc2c(=O)s1,7.09
CC(C)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,7.45
CCCC(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,7.32
COc1cccc(-c2n[nH]c(Cc3cccc([N+](=O)[O-])c3)n2)c1,7.1
Cc1ccc2c(S)cc(-c3ccccc3)nc2n1,6.64
COc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1,7.3
Cc1ccc2c(N)cc(-c3ccccc3)nc2n1,6.68
Cc1cccc(O[C@H](C)C(=O)Nc2nc(-c3ccccc3)n[nH]2)c1,6.7
